combined_id,slab_number,batch_number,material_name,colour_family,size_mm,thickness_mm,finish,location,received_date,notes
01345/6233,01345,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
01488/6233,01488,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
01496/6233,01496,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
01500/6233,01500,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
01501/6233,01501,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
01518/6233,01518,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
01520/6233,01520,6233,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02231/6264,02231,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02232/6264,02232,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02276/6264,02276,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02277/6264,02277,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02279/6264,02279,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02280/6264,02280,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02281/6264,02281,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02282/6264,02282,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02283/6264,02283,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02284/6264,02284,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02285/6264,02285,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02286/6264,02286,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02287/6264,02287,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02288/6264,02288,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02289//6264,02289,,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02296/6264,02296,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02297/6264,02297,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02298/6264,02298,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02303/6264,02303,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02307/6264,02307,6264,Apollo Super Jumbo ,,3450x1940,20,,Bellagio Yard,,
02334/6264,02334,6264,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
02335/6264,02335,6264,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
02336/6264,02336,6264,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
13576/5977,13576,5977,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
16275/6077,16275,6077,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
16559/6099,16559,6099,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
16560/6099,16560,6099,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
16561/6099,16561,6099,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
16562/6099,16562,6099,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
16566/6099,16566,6099,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
20014/5417,20014,5417,Apollo Super Jumbo ,,3450x1940,30,,Bellagio Yard,,
17354/3963,17354,3963,Bianco Carrara Jumbo ,,3150x1600,20,,Bellagio Yard,,
17346/3963,17346,3963,Bianco Carrara Jumbo ,,3200x1600,20,,Bellagio Yard,,
4787/5906,4787,5906,Bianco Carrara Jumbo ,,3200x1600,20,,Bellagio Yard,,
4871/5906,4871,5906,Bianco Carrara Jumbo ,,3200x1600,20,,Bellagio Yard,,
4876/5906,4876,5906,Bianco Carrara Jumbo ,,3200x1600,20,,Bellagio Yard,,
4877/5906,4877,5906,Bianco Carrara Jumbo ,,3200x1600,20,,Bellagio Yard,,
